Region,Year,Quarter,AACI
EN,2017,4,3.018988652
EN,2018,1,0.666806784
EN,2018,2,-0.262002725
EN,2018,3,0.825210148
EN,2018,4,-0.008880431
EN,2019,1,0.229494444
EN,2019,2,0.738979238
EN,2019,3,-0.005079308
EN,2019,4,1.30410487
EN,2020,1,1.495577063
EN,2020,2,0.489690017
EN,2020,3,0.623150226
EN,2020,4,0.41157561
EN,2021,1,0.514579116
EN,2021,2,-0.396805158
EN,2021,3,0.588387974
EN,2021,4,0.869652833
ES,1981,1,0.148826359
ES,1981,2,-0.411992698
ES,1981,3,-0.157872873
ES,1981,4,0.096656768
ES,1982,1,0.122271397
ES,1982,2,-0.608206088
ES,1982,3,-0.591366681
ES,1982,4,0.139553422
ES,1983,1,0.410259628
ES,1983,2,0.292613253
ES,1983,3,-0.504990922
ES,1983,4,-0.434260916
ES,1984,1,-0.511399848
ES,1984,2,-0.521125804
ES,1984,3,-0.625063655
ES,1984,4,-0.576246406
ES,1985,1,-0.315188348
ES,1985,2,-0.315158103
ES,1985,3,-0.504990922
ES,1985,4,-0.750525795
ES,1986,1,-0.424549081
ES,1986,2,0.985015086
ES,1986,3,-0.003603658
ES,1986,4,-0.317883586
ES,1987,1,-0.023888215
ES,1987,2,0.097301327
ES,1987,3,-0.382462359
ES,1987,4,-0.501568661
ES,1988,1,-0.571740683
ES,1988,2,-0.327591193
ES,1988,3,0.257572975
ES,1988,4,1.220944049
ES,1989,1,-0.567095418
ES,1989,2,-0.414076324
ES,1989,3,-0.406512689
ES,1989,4,-0.278973379
ES,1990,1,-0.542509898
ES,1990,2,-0.142670637
ES,1990,3,0.376926951
ES,1990,4,-0.750525795
ES,1991,1,1.304388506
ES,1991,2,-0.414150756
ES,1991,3,0.985896323
ES,1991,4,-0.346636843
ES,1992,1,-0.301624263
ES,1992,2,-0.608206088
ES,1992,3,-0.293527832
ES,1992,4,-0.676066768
ES,1993,1,-0.639278294
ES,1993,2,-0.608206088
ES,1993,3,-0.03433969
ES,1993,4,-0.360314675
ES,1994,1,0.132890389
ES,1994,2,0.100930685
ES,1994,3,-0.523089453
ES,1994,4,-0.429296648
ES,1995,1,-0.280024706
ES,1995,2,0.224179617
ES,1995,3,1.732095645
ES,1995,4,0.201442621
ES,1996,1,-0.511012746
ES,1996,2,0.361262257
ES,1996,3,-0.109670642
ES,1996,4,0.294152025
ES,1997,1,-0.092101106
ES,1997,2,-0.515036589
ES,1997,3,-0.311446389
ES,1997,4,0.015083778
ES,1998,1,0.348058849
ES,1998,2,1.743891654
